sample_group_id,window_index,window_id,spatial_block,forest_class_code,forest_class,fold,target_day,target_date,target_year,target_quarter,horizon_seasons,support_pixels
37,0,NORMAL_0011,1209_249,1,broadleaf,2,19007,2022-01-15,2022,1,2,128
38,0,NORMAL_0011,1209_249,1,broadleaf,2,19007,2022-01-15,2022,1,4,128
39,0,NORMAL_0011,1209_249,1,broadleaf,2,19097,2022-04-15,2022,2,1,128
40,0,NORMAL_0011,1209_249,1,broadleaf,2,19097,2022-04-15,2022,2,2,128
41,0,NORMAL_0011,1209_249,1,broadleaf,2,19097,2022-04-15,2022,2,4,128
42,0,NORMAL_0011,1209_249,1,broadleaf,2,19188,2022-07-15,2022,3,1,128
43,0,NORMAL_0011,1209_249,1,broadleaf,2,19188,2022-07-15,2022,3,2,128
44,0,NORMAL_0011,1209_249,1,broadleaf,2,19188,2022-07-15,2022,3,4,128
45,0,NORMAL_0011,1209_249,1,broadleaf,2,19280,2022-10-15,2022,4,1,128
46,0,NORMAL_0011,1209_249,1,broadleaf,2,19280,2022-10-15,2022,4,2,128
47,0,NORMAL_0011,1209_249,1,broadleaf,2,19280,2022-10-15,2022,4,4,128
48,0,NORMAL_0011,1209_249,1,broadleaf,2,19372,2023-01-15,2023,1,1,128
49,0,NORMAL_0011,1209_249,1,broadleaf,2,19372,2023-01-15,2023,1,2,128
50,0,NORMAL_0011,1209_249,1,broadleaf,2,19372,2023-01-15,2023,1,4,128
51,0,NORMAL_0011,1209_249,1,broadleaf,2,19462,2023-04-15,2023,2,1,128
52,0,NORMAL_0011,1209_249,1,broadleaf,2,19462,2023-04-15,2023,2,2,128
53,0,NORMAL_0011,1209_249,1,broadleaf,2,19462,2023-04-15,2023,2,4,128
54,0,NORMAL_0011,1209_249,1,broadleaf,2,19553,2023-07-15,2023,3,1,128
55,0,NORMAL_0011,1209_249,1,broadleaf,2,19553,2023-07-15,2023,3,2,128
56,0,NORMAL_0011,1209_249,1,broadleaf,2,19553,2023-07-15,2023,3,4,128
57,0,NORMAL_0011,1209_249,1,broadleaf,2,19645,2023-10-15,2023,4,1,128
58,0,NORMAL_0011,1209_249,1,broadleaf,2,19645,2023-10-15,2023,4,2,128
59,0,NORMAL_0011,1209_249,1,broadleaf,2,19645,2023-10-15,2023,4,4,128
60,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,1,128
61,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,2,128
62,0,NORMAL_0011,1209_249,1,broadleaf,2,19737,2024-01-15,2024,1,4,128
63,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,1,128
64,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,2,128
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128
70,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,2,128
71,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,4,128
72,0,NORMAL_0011,1209_249,1,broadleaf,2,20103,2025-01-15,2025,1,1,128
73,0,NORMAL_0011,1209_249,1,broadleaf,2,20103,2025-01-15,2025,1,2,128
74,0,NORMAL_0011,1209_249,1,broadleaf,2,20103,2025-01-15,2025,1,4,128
75,0,NORMAL_0011,1209_249,1,broadleaf,2,20193,2025-04-15,2025,2,1,128
76,0,NORMAL_0011,1209_249,1,broadleaf,2,20193,2025-04-15,2025,2,2,128
77,0,NORMAL_0011,1209_249,1,broadleaf,2,20193,2025-04-15,2025,2,4,128
78,0,NORMAL_0011,1209_249,1,broadleaf,2,20284,2025-07-15,2025,3,1,128
79,0,NORMAL_0011,1209_249,1,broadleaf,2,20284,2025-07-15,2025,3,2,128
80,0,NORMAL_0011,1209_249,1,broadleaf,2,20284,2025-07-15,2025,3,4,128
81,0,NORMAL_0011,1209_249,1,broadleaf,2,20376,2025-10-15,2025,4,1,128
82,0,NORMAL_0011,1209_249,1,broadleaf,2,20376,2025-10-15,2025,4,2,128
83,0,NORMAL_0011,1209_249,1,broadleaf,2,20376,2025-10-15,2025,4,4,128
84,1,NORMAL_0031,1204_253,1,broadleaf,3,17911,2019-01-15,2019,1,1,128
85,1,NORMAL_0031,1204_253,1,broadleaf,3,17911,2019-01-15,2019,1,2,128
86,1,NORMAL_0031,1204_253,1,broadleaf,3,17911,2019-01-15,2019,1,4,128
87,1,NORMAL_0031,1204_253,1,broadleaf,3,18001,2019-04-15,2019,2,1,128
88,1,NORMAL_0031,1204_253,1,broadleaf,3,18001,2019-04-15,2019,2,2,128
89,1,NORMAL_0031,1204_253,1,broadleaf,3,18001,2019-04-15,2019,2,4,128
90,1,NORMAL_0031,1204_253,1,broadleaf,3,18092,2019-07-15,2019,3,1,128
91,1,NORMAL_0031,1204_253,1,broadleaf,3,18092,2019-07-15,2019,3,2,128
92,1,NORMAL_0031,1204_253,1,broadleaf,3,18092,2019-07-15,2019,3,4,128
93,1,NORMAL_0031,1204_253,1,broadleaf,3,18184,2019-10-15,2019,4,1,128
94,1,NORMAL_0031,1204_253,1,broadleaf,3,18184,2019-10-15,2019,4,2,128
95,1,NORMAL_0031,1204_253,1,broadleaf,3,18184,2019-10-15,2019,4,4,128
96,1,NORMAL_0031,1204_253,1,broadleaf,3,18276,2020-01-15,2020,1,1,128
97,1,NORMAL_0031,1204_253,1,broadleaf,3,18276,2020-01-15,2020,1,2,128
98,1,NORMAL_0031,1204_253,1,broadleaf,3,18276,2020-01-15,2020,1,4,128
99,1,NORMAL_0031,1204_253,1,broadleaf,3,18367,2020-04-15,2020,2,1,128
100,1,NORMAL_0031,1204_253,1,broadleaf,3,18367,2020-04-15,2020,2,2,128
101,1,NORMAL_0031,1204_253,1,broadleaf,3,18367,2020-04-15,2020,2,4,128
102,1,NORMAL_0031,1204_253,1,broadleaf,3,18458,2020-07-15,2020,3,1,128
103,1,NORMAL_0031,1204_253,1,broadleaf,3,18458,2020-07-15,2020,3,2,128
104,1,NORMAL_0031,1204_253,1,broadleaf,3,18458,2020-07-15,2020,3,4,128
105,1,NORMAL_0031,1204_253,1,broadleaf,3,18550,2020-10-15,2020,4,1,128
106,1,NORMAL_0031,1204_253,1,broadleaf,3,18550,2020-10-15,2020,4,2,128
107,1,NORMAL_0031,1204_253,1,broadleaf,3,18550,2020-10-15,2020,4,4,128
108,1,NORMAL_0031,1204_253,1,broadleaf,3,18642,2021-01-15,2021,1,1,128
109,1,NORMAL_0031,1204_253,1,broadleaf,3,18642,2021-01-15,2021,1,2,128
110,1,NORMAL_0031,1204_253,1,broadleaf,3,18642,2021-01-15,2021,1,4,128
111,1,NORMAL_0031,1204_253,1,broadleaf,3,18732,2021-04-15,2021,2,1,128
112,1,NORMAL_0031,1204_253,1,broadleaf,3,18732,2021-04-15,2021,2,2,128
113,1,NORMAL_0031,1204_253,1,broadleaf,3,18732,2021-04-15,2021,2,4,128
114,1,NORMAL_0031,1204_253,1,broadleaf,3,18823,2021-07-15,2021,3,1,128
115,1,NORMAL_0031,1204_253,1,broadleaf,3,18823,2021-07-15,2021,3,2,128
116,1,NORMAL_0031,1204_253,1,broadleaf,3,18823,2021-07-15,2021,3,4,128
117,1,NORMAL_0031,1204_253,1,broadleaf,3,18915,2021-10-15,2021,4,1,128
118,1,NORMAL_0031,1204_253,1,broadleaf,3,18915,2021-10-15,2021,4,2,128
119,1,NORMAL_0031,1204_253,1,broadleaf,3,18915,2021-10-15,2021,4,4,128
120,1,NORMAL_0031,1204_253,1,broadleaf,3,19007,2022-01-15,2022,1,1,128
121,1,NORMAL_0031,1204_253,1,broadleaf,3,19007,2022-01-15,2022,1,2,128
122,1,NORMAL_0031,1204_253,1,broadleaf,3,19007,2022-01-15,2022,1,4,128
123,1,NORMAL_0031,1204_253,1,broadleaf,3,19097,2022-04-15,2022,2,1,128
124,1,NORMAL_0031,1204_253,1,broadleaf,3,19097,2022-04-15,2022,2,2,128
125,1,NORMAL_0031,1204_253,1,broadleaf,3,19097,2022-04-15,2022,2,4,128
126,1,NORMAL_0031,1204_253,1,broadleaf,3,19188,2022-07-15,2022,3,1,128
127,1,NORMAL_0031,1204_253,1,broadleaf,3,19188,2022-07-15,2022,3,2,128
128,1,NORMAL_0031,1204_253,1,broadleaf,3,19188,2022-07-15,2022,3,4,128
129,1,NORMAL_0031,1204_253,1,broadleaf,3,19280,2022-10-15,2022,4,1,128
130,1,NORMAL_0031,1204_253,1,broadleaf,3,19280,2022-10-15,2022,4,2,128
131,1,NORMAL_0031,1204_253,1,broadleaf,3,19280,2022-10-15,2022,4,4,128
132,1,NORMAL_0031,1204_253,1,broadleaf,3,19372,2023-01-15,2023,1,1,128
133,1,NORMAL_0031,1204_253,1,broadleaf,3,19372,2023-01-15,2023,1,2,128
134,1,NORMAL_0031,1204_253,1,broadleaf,3,19372,2023-01-15,2023,1,4,128
135,1,NORMAL_0031,1204_253,1,broadleaf,3,19462,2023-04-15,2023,2,1,128
136,1,NORMAL_0031,1204_253,1,broadleaf,3,19462,2023-04-15,2023,2,2,128
137,1,NORMAL_0031,1204_253,1,broadleaf,3,19462,2023-04-15,2023,2,4,128
138,1,NORMAL_0031,1204_253,1,broadleaf,3,19553,2023-07-15,2023,3,1,128
139,1,NORMAL_0031,1204_253,1,broadleaf,3,19553,2023-07-15,2023,3,2,128
140,1,NORMAL_0031,1204_253,1,broadleaf,3,19553,2023-07-15,2023,3,4,128
141,1,NORMAL_0031,1204_253,1,broadleaf,3,19645,2023-10-15,2023,4,1,128
142,1,NORMAL_0031,1204_253,1,broadleaf,3,19645,2023-10-15,2023,4,2,128
143,1,NORMAL_0031,1204_253,1,broadleaf,3,19645,2023-10-15,2023,4,4,128
144,1,NORMAL_0031,1204_253,1,broadleaf,3,19737,2024-01-15,2024,1,1,128
145,1,NORMAL_0031,1204_253,1,broadleaf,3,19737,2024-01-15,2024,1,2,128
146,1,NORMAL_0031,1204_253,1,broadleaf,3,19737,2024-01-15,2024,1,4,128
147,1,NORMAL_0031,1204_253,1,broadleaf,3,19828,2024-04-15,2024,2,1,128
148,1,NORMAL_0031,1204_253,1,broadleaf,3,19828,2024-04-15,2024,2,2,128
149,1,NORMAL_0031,1204_253,1,broadleaf,3,19828,2024-04-15,2024,2,4,128
150,1,NORMAL_0031,1204_253,1,broadleaf,3,19919,2024-07-15,2024,3,1,128
151,1,NORMAL_0031,1204_253,1,broadleaf,3,19919,2024-07-15,2024,3,2,128
152,1,NORMAL_0031,1204_253,1,broadleaf,3,19919,2024-07-15,2024,3,4,128
153,1,NORMAL_0031,1204_253,1,broadleaf,3,20011,2024-10-15,2024,4,1,128
154,1,NORMAL_0031,1204_253,1,broadleaf,3,20011,2024-10-15,2024,4,2,128
155,1,NORMAL_0031,1204_253,1,broadleaf,3,20011,2024-10-15,2024,4,4,128
156,1,NORMAL_0031,1204_253,1,broadleaf,3,20103,2025-01-15,2025,1,1,128
157,1,NORMAL_0031,1204_253,1,broadleaf,3,20103,2025-01-15,2025,1,2,128
158,1,NORMAL_0031,1204_253,1,broadleaf,3,20103,2025-01-15,2025,1,4,128
159,1,NORMAL_0031,1204_253,1,broadleaf,3,20193,2025-04-15,2025,2,1,128
160,1,NORMAL_0031,1204_253,1,broadleaf,3,20193,2025-04-15,2025,2,2,128
161,1,NORMAL_0031,1204_253,1,broadleaf,3,20193,2025-04-15,2025,2,4,128
162,1,NORMAL_0031,1204_253,1,broadleaf,3,20284,2025-07-15,2025,3,1,128
163,1,NORMAL_0031,1204_253,1,broadleaf,3,20284,2025-07-15,2025,3,2,128
164,1,NORMAL_0031,1204_253,1,broadleaf,3,20284,2025-07-15,2025,3,4,128
165,1,NORMAL_0031,1204_253,1,broadleaf,3,20376,2025-10-15,2025,4,1,128
166,1,NORMAL_0031,1204_253,1,broadleaf,3,20376,2025-10-15,2025,4,2,128
167,1,NORMAL_0031,1204_253,1,broadleaf,3,20376,2025-10-15,2025,4,4,128
168,2,NORMAL_0035,1204_258,1,broadleaf,2,17911,2019-01-15,2019,1,1,128
169,2,NORMAL_0035,1204_258,1,broadleaf,2,17911,2019-01-15,2019,1,2,128
170,2,NORMAL_0035,1204_258,1,broadleaf,2,17911,2019-01-15,2019,1,4,128
171,2,NORMAL_0035,1204_258,1,broadleaf,2,18001,2019-04-15,2019,2,1,128
172,2,NORMAL_0035,1204_258,1,broadleaf,2,18001,2019-04-15,2019,2,2,128
173,2,NORMAL_0035,1204_258,1,broadleaf,2,18001,2019-04-15,2019,2,4,128
174,2,NORMAL_0035,1204_258,1,broadleaf,2,18092,2019-07-15,2019,3,1,128
175,2,NORMAL_0035,1204_258,1,broadleaf,2,18092,2019-07-15,2019,3,2,128
176,2,NORMAL_0035,1204_258,1,broadleaf,2,18092,2019-07-15,2019,3,4,128
177,2,NORMAL_0035,1204_258,1,broadleaf,2,18184,2019-10-15,2019,4,1,128
178,2,NORMAL_0035,1204_258,1,broadleaf,2,18184,2019-10-15,2019,4,2,128
179,2,NORMAL_0035,1204_258,1,broadleaf,2,18184,2019-10-15,2019,4,4,128
180,2,NORMAL_0035,1204_258,1,broadleaf,2,18276,2020-01-15,2020,1,1,128
181,2,NORMAL_0035,1204_258,1,broadleaf,2,18276,2020-01-15,2020,1,2,128
182,2,NORMAL_0035,1204_258,1,broadleaf,2,18276,2020-01-15,2020,1,4,128
183,2,NORMAL_0035,1204_258,1,broadleaf,2,18367,2020-04-15,2020,2,1,128
184,2,NORMAL_0035,1204_258,1,broadleaf,2,18367,2020-04-15,2020,2,2,128
185,2,NORMAL_0035,1204_258,1,broadleaf,2,18367,2020-04-15,2020,2,4,128
186,2,NORMAL_0035,1204_258,1,broadleaf,2,18458,2020-07-15,2020,3,1,128
187,2,NORMAL_0035,1204_258,1,broadleaf,2,18458,2020-07-15,2020,3,2,128
188,2,NORMAL_0035,1204_258,1,broadleaf,2,18458,2020-07-15,2020,3,4,128
189,2,NORMAL_0035,1204_258,1,broadleaf,2,18550,2020-10-15,2020,4,1,128
190,2,NORMAL_0035,1204_258,1,broadleaf,2,18550,2020-10-15,2020,4,2,128
191,2,NORMAL_0035,1204_258,1,broadleaf,2,18550,2020-10-15,2020,4,4,128
192,2,NORMAL_0035,1204_258,1,broadleaf,2,18642,2021-01-15,2021,1,1,128
193,2,NORMAL_0035,1204_258,1,broadleaf,2,18642,2021-01-15,2021,1,2,128
194,2,NORMAL_0035,1204_258,1,broadleaf,2,18642,2021-01-15,2021,1,4,128
195,2,NORMAL_0035,1204_258,1,broadleaf,2,18732,2021-04-15,2021,2,1,128
196,2,NORMAL_0035,1204_258,1,broadleaf,2,18732,2021-04-15,2021,2,2,128
197,2,NORMAL_0035,1204_258,1,broadleaf,2,18732,2021-04-15,2021,2,4,128
198,2,NORMAL_0035,1204_258,1,broadleaf,2,18823,2021-07-15,2021,3,1,128
199,2,NORMAL_0035,1204_258,1,broadleaf,2,18823,2021-07-15,2021,3,2,128
200,2,NORMAL_0035,1204_258,1,broadleaf,2,18823,2021-07-15,2021,3,4,128
201,2,NORMAL_0035,1204_258,1,broadleaf,2,18915,2021-10-15,2021,4,1,128
202,2,NORMAL_0035,1204_258,1,broadleaf,2,18915,2021-10-15,2021,4,2,128
203,2,NORMAL_0035,1204_258,1,broadleaf,2,18915,2021-10-15,2021,4,4,128
204,2,NORMAL_0035,1204_258,1,broadleaf,2,19007,2022-01-15,2022,1,1,128
205,2,NORMAL_0035,1204_258,1,broadleaf,2,19007,2022-01-15,2022,1,2,128
206,2,NORMAL_0035,1204_258,1,broadleaf,2,19007,2022-01-15,2022,1,4,128
207,2,NORMAL_0035,1204_258,1,broadleaf,2,19097,2022-04-15,2022,2,1,128
208,2,NORMAL_0035,1204_258,1,broadleaf,2,19097,2022-04-15,2022,2,2,128
209,2,NORMAL_0035,1204_258,1,broadleaf,2,19097,2022-04-15,2022,2,4,128
210,2,NORMAL_0035,1204_258,1,broadleaf,2,19188,2022-07-15,2022,3,1,128
211,2,NORMAL_0035,1204_258,1,broadleaf,2,19188,2022-07-15,2022,3,2,128
212,2,NORMAL_0035,1204_258,1,broadleaf,2,19188,2022-07-15,2022,3,4,128
213,2,NORMAL_0035,1204_258,1,broadleaf,2,19280,2022-10-15,2022,4,1,128
214,2,NORMAL_0035,1204_258,1,broadleaf,2,19280,2022-10-15,2022,4,2,128
215,2,NORMAL_0035,1204_258,1,broadleaf,2,19280,2022-10-15,2022,4,4,128
216,2,NORMAL_0035,1204_258,1,broadleaf,2,19372,2023-01-15,2023,1,1,128
217,2,NORMAL_0035,1204_258,1,broadleaf,2,19372,2023-01-15,2023,1,2,128
218,2,NORMAL_0035,1204_258,1,broadleaf,2,19372,2023-01-15,2023,1,4,128
219,2,NORMAL_0035,1204_258,1,broadleaf,2,19462,2023-04-15,2023,2,1,128
220,2,NORMAL_0035,1204_258,1,broadleaf,2,19462,2023-04-15,2023,2,2,128
221,2,NORMAL_0035,1204_258,1,broadleaf,2,19462,2023-04-15,2023,2,4,128
222,2,NORMAL_0035,1204_258,1,broadleaf,2,19553,2023-07-15,2023,3,1,128
223,2,NORMAL_0035,1204_258,1,broadleaf,2,19553,2023-07-15,2023,3,2,128
224,2,NORMAL_0035,1204_258,1,broadleaf,2,19553,2023-07-15,2023,3,4,128
225,2,NORMAL_0035,1204_258,1,broadleaf,2,19645,2023-10-15,2023,4,1,128
226,2,NORMAL_0035,1204_258,1,broadleaf,2,19645,2023-10-15,2023,4,2,128
227,2,NORMAL_0035,1204_258,1,broadleaf,2,19645,2023-10-15,2023,4,4,128
228,2,NORMAL_0035,1204_258,1,broadleaf,2,19737,2024-01-15,2024,1,1,128
229,2,NORMAL_0035,1204_258,1,broadleaf,2,19737,2024-01-15,2024,1,2,128
230,2,NORMAL_0035,1204_258,1,broadleaf,2,19737,2024-01-15,2024,1,4,128
231,2,NORMAL_0035,1204_258,1,broadleaf,2,19828,2024-04-15,2024,2,1,128
232,2,NORMAL_0035,1204_258,1,broadleaf,2,19828,2024-04-15,2024,2,2,128
233,2,NORMAL_0035,1204_258,1,broadleaf,2,19828,2024-04-15,2024,2,4,128
234,2,NORMAL_0035,1204_258,1,broadleaf,2,19919,2024-07-15,2024,3,1,128
235,2,NORMAL_0035,1204_258,1,broadleaf,2,19919,2024-07-15,2024,3,2,128
236,2,NORMAL_0035,1204_258,1,broadleaf,2,19919,2024-07-15,2024,3,4,128
237,2,NORMAL_0035,1204_258,1,broadleaf,2,20011,2024-10-15,2024,4,1,128
238,2,NORMAL_0035,1204_258,1,broadleaf,2,20011,2024-10-15,2024,4,2,128
239,2,NORMAL_0035,1204_258,1,broadleaf,2,20011,2024-10-15,2024,4,4,128
240,2,NORMAL_0035,1204_258,1,broadleaf,2,20103,2025-01-15,2025,1,1,128
241,2,NORMAL_0035,1204_258,1,broadleaf,2,20103,2025-01-15,2025,1,2,128
242,2,NORMAL_0035,1204_258,1,broadleaf,2,20103,2025-01-15,2025,1,4,128
243,2,NORMAL_0035,1204_258,1,broadleaf,2,20193,2025-04-15,2025,2,1,128
244,2,NORMAL_0035,1204_258,1,broadleaf,2,20193,2025-04-15,2025,2,2,128
245,2,NORMAL_0035,1204_258,1,broadleaf,2,20193,2025-04-15,2025,2,4,128
246,2,NORMAL_0035,1204_258,1,broadleaf,2,20284,2025-07-15,2025,3,1,128
247,2,NORMAL_0035,1204_258,1,broadleaf,2,20284,2025-07-15,2025,3,2,128
248,2,NORMAL_0035,1204_258,1,broadleaf,2,20284,2025-07-15,2025,3,4,128
249,2,NORMAL_0035,1204_258,1,broadleaf,2,20376,2025-10-15,2025,4,1,128
250,2,NORMAL_0035,1204_258,1,broadleaf,2,20376,2025-10-15,2025,4,2,128
251,2,NORMAL_0035,1204_258,1,broadleaf,2,20376,2025-10-15,2025,4,4,128
252,3,NORMAL_0059,1208_245,1,broadleaf,4,17911,2019-01-15,2019,1,1,128
253,3,NORMAL_0059,1208_245,1,broadleaf,4,17911,2019-01-15,2019,1,2,128
254,3,NORMAL_0059,1208_245,1,broadleaf,4,17911,2019-01-15,2019,1,4,128
255,3,NORMAL_0059,1208_245,1,broadleaf,4,18001,2019-04-15,2019,2,1,128
256,3,NORMAL_0059,1208_245,1,broadleaf,4,18001,2019-04-15,2019,2,2,128
257,3,NORMAL_0059,1208_245,1,broadleaf,4,18001,2019-04-15,2019,2,4,128
258,3,NORMAL_0059,1208_245,1,broadleaf,4,18092,2019-07-15,2019,3,1,128
259,3,NORMAL_0059,1208_245,1,broadleaf,4,18092,2019-07-15,2019,3,2,128
260,3,NORMAL_0059,1208_245,1,broadleaf,4,18092,2019-07-15,2019,3,4,128
261,3,NORMAL_0059,1208_245,1,broadleaf,4,18184,2019-10-15,2019,4,1,128
262,3,NORMAL_0059,1208_245,1,broadleaf,4,18184,2019-10-15,2019,4,2,128
263,3,NORMAL_0059,1208_245,1,broadleaf,4,18184,2019-10-15,2019,4,4,128
264,3,NORMAL_0059,1208_245,1,broadleaf,4,18276,2020-01-15,2020,1,1,128
265,3,NORMAL_0059,1208_245,1,broadleaf,4,18276,2020-01-15,2020,1,2,128
266,3,NORMAL_0059,1208_245,1,broadleaf,4,18276,2020-01-15,2020,1,4,128
267,3,NORMAL_0059,1208_245,1,broadleaf,4,18367,2020-04-15,2020,2,1,128
268,3,NORMAL_0059,1208_245,1,broadleaf,4,18367,2020-04-15,2020,2,2,128
269,3,NORMAL_0059,1208_245,1,broadleaf,4,18367,2020-04-15,2020,2,4,128
270,3,NORMAL_0059,1208_245,1,broadleaf,4,18458,2020-07-15,2020,3,1,128
271,3,NORMAL_0059,1208_245,1,broadleaf,4,18458,2020-07-15,2020,3,2,128
272,3,NORMAL_0059,1208_245,1,broadleaf,4,18458,2020-07-15,2020,3,4,128
273,3,NORMAL_0059,1208_245,1,broadleaf,4,18550,2020-10-15,2020,4,1,128
274,3,NORMAL_0059,1208_245,1,broadleaf,4,18550,2020-10-15,2020,4,2,128
275,3,NORMAL_0059,1208_245,1,broadleaf,4,18550,2020-10-15,2020,4,4,128
276,3,NORMAL_0059,1208_245,1,broadleaf,4,18642,2021-01-15,2021,1,1,128
277,3,NORMAL_0059,1208_245,1,broadleaf,4,18642,2021-01-15,2021,1,2,128
278,3,NORMAL_0059,1208_245,1,broadleaf,4,18642,2021-01-15,2021,1,4,128
279,3,NORMAL_0059,1208_245,1,broadleaf,4,18732,2021-04-15,2021,2,1,128
280,3,NORMAL_0059,1208_245,1,broadleaf,4,18732,2021-04-15,2021,2,2,128
281,3,NORMAL_0059,1208_245,1,broadleaf,4,18732,2021-04-15,2021,2,4,128
282,3,NORMAL_0059,1208_245,1,broadleaf,4,18823,2021-07-15,2021,3,1,128
283,3,NORMAL_0059,1208_245,1,broadleaf,4,18823,2021-07-15,2021,3,2,128
284,3,NORMAL_0059,1208_245,1,broadleaf,4,18823,2021-07-15,2021,3,4,128
285,3,NORMAL_0059,1208_245,1,broadleaf,4,18915,2021-10-15,2021,4,1,128
286,3,NORMAL_0059,1208_245,1,broadleaf,4,18915,2021-10-15,2021,4,2,128
287,3,NORMAL_0059,1208_245,1,broadleaf,4,18915,2021-10-15,2021,4,4,128
288,3,NORMAL_0059,1208_245,1,broadleaf,4,19007,2022-01-15,2022,1,1,128
289,3,NORMAL_0059,1208_245,1,broadleaf,4,19007,2022-01-15,2022,1,2,128
290,3,NORMAL_0059,1208_245,1,broadleaf,4,19007,2022-01-15,2022,1,4,128
291,3,NORMAL_0059,1208_245,1,broadleaf,4,19097,2022-04-15,2022,2,1,128
292,3,NORMAL_0059,1208_245,1,broadleaf,4,19097,2022-04-15,2022,2,2,128
293,3,NORMAL_0059,1208_245,1,broadleaf,4,19097,2022-04-15,2022,2,4,128
